timestamp,scenario,point,equipment,value,units
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,54.768,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,54.758,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,27.863,%
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,1.881,psid
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,70.418,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,42.239,%RH
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,69.837,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.021,in.w.c.
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,43.574,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,17.753,psi
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,144.723,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,55.54,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,55.161,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,59.046,%
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,64.023,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,72.351,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,71.872,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,18.08,%
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,43.698,F
2026-06-25T12:00:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,144.948,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,54.975,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,55.381,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,33.054,%
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.438,psid
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,69.816,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,44.368,%RH
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,70.055,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.019,in.w.c.
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,43.588,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,16.477,psi
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,142.948,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,54.829,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,54.929,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,54.052,%
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,65.104,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,71.733,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,71.921,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,17.019,%
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,43.57,F
2026-06-25T12:01:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,145.667,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,55.021,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,54.829,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,38.911,%
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.495,psid
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,69.636,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,42.935,%RH
